,x
1,3.55E-05
2,3.05E-05
3,2.63E-05
4,2.27E-05
5,1.96E-05
6,1.69E-05
7,1.47E-05
8,1.27E-05
9,1.11E-05
10,9.62E-06
11,8.37E-06
12,7.30E-06
13,6.38E-06
14,5.61E-06
15,4.96E-06
16,4.47E-06
17,4.15E-06
18,4.10E-06
19,4.45E-06
20,5.48E-06
21,7.63E-06
22,1.16E-05
23,1.82E-05
24,2.84E-05
25,4.21E-05
26,5.86E-05
27,7.63E-05
28,9.36E-05
29,0.000109534
30,0.00012417
31,0.000137759
32,0.000150652
33,0.000163044
34,0.000174825
35,0.000185393
36,0.000193363
37,0.000196224
38,0.000190352
39,0.00017235
40,0.00014222
41,0.00010568
42,7.13E-05
43,4.46E-05
44,2.65E-05
45,1.53E-05
46,8.71E-06
47,4.91E-06
48,2.75E-06
49,1.54E-06
50,8.62E-07
51,4.83E-07
52,2.71E-07
53,1.52E-07
54,8.56E-08
55,4.85E-08
56,2.77E-08
57,1.61E-08
58,9.86E-09
59,6.81E-09
60,5.95E-09
61,6.99E-09
62,1.03E-08
63,1.69E-08
64,2.91E-08
65,5.08E-08
66,8.92E-08
67,1.57E-07
68,2.76E-07
69,4.86E-07
70,4.81E-05
71,4.13E-05
72,3.55E-05
73,3.06E-05
74,2.64E-05
75,2.29E-05
76,1.98E-05
77,1.72E-05
78,1.49E-05
79,1.29E-05
80,1.13E-05
81,9.82E-06
82,8.57E-06
83,7.52E-06
84,6.64E-06
85,5.94E-06
86,5.47E-06
87,5.30E-06
88,5.61E-06
89,6.69E-06
90,9.07E-06
91,1.35E-05
92,2.12E-05
93,3.31E-05
94,4.97E-05
95,7.02E-05
96,9.26E-05
97,0.000114936
98,0.000135782
99,0.000154889
100,0.000172563
101,0.000189253
102,0.000205256
103,0.000220516
104,0.000234402
105,0.00024537
106,0.000250515
107,0.000245447
108,0.000225561
109,0.000189723
110,0.000143876
111,9.87E-05
112,6.26E-05
113,3.76E-05
114,2.18E-05
115,1.24E-05
116,7.02E-06
117,3.94E-06
118,2.21E-06
119,1.24E-06
120,6.94E-07
121,3.89E-07
122,2.19E-07
123,1.24E-07
124,7.01E-08
125,4.02E-08
126,2.36E-08
127,1.46E-08
128,1.04E-08
129,9.58E-09
130,1.18E-08
131,1.77E-08
132,2.95E-08
133,5.09E-08
134,8.89E-08
135,1.56E-07
136,2.74E-07
137,4.83E-07
138,8.50E-07
139,6.51E-05
140,5.59E-05
141,4.80E-05
142,4.14E-05
143,3.57E-05
144,3.09E-05
145,2.67E-05
146,2.31E-05
147,2.01E-05
148,1.74E-05
149,1.52E-05
150,1.32E-05
151,1.15E-05
152,1.01E-05
153,8.88E-06
154,7.92E-06
155,7.23E-06
156,6.90E-06
157,7.12E-06
158,8.23E-06
159,1.08E-05
160,1.59E-05
161,2.46E-05
162,3.86E-05
163,5.85E-05
164,8.37E-05
165,0.000112109
166,0.000140823
167,0.000167968
168,0.000192915
169,0.000215925
170,0.000237552
171,0.000258224
172,0.000277966
173,0.000296136
174,0.000311018
175,0.00031928
176,0.000315659
177,0.000294123
178,0.000251987
179,0.000195032
180,0.000136362
181,8.77E-05
182,5.31E-05
183,3.10E-05
184,1.78E-05
185,1.00E-05
186,5.65E-06
187,3.17E-06
188,1.78E-06
189,9.98E-07
190,5.61E-07
191,3.16E-07
192,1.79E-07
193,1.02E-07
194,5.84E-08
195,3.45E-08
196,2.19E-08
197,1.61E-08
198,1.55E-08
199,1.99E-08
200,3.06E-08
201,5.14E-08
202,8.89E-08
203,1.56E-07
204,2.73E-07
205,4.80E-07
206,8.45E-07
207,1.49E-06
208,8.83E-05
209,7.56E-05
210,6.50E-05
211,5.59E-05
212,4.82E-05
213,4.17E-05
214,3.60E-05
215,3.12E-05
216,2.70E-05
217,2.35E-05
218,2.04E-05
219,1.78E-05
220,1.55E-05
221,1.35E-05
222,1.19E-05
223,1.06E-05
224,9.57E-06
225,9.01E-06
226,9.09E-06
227,1.02E-05
228,1.30E-05
229,1.87E-05
230,2.87E-05
231,4.49E-05
232,6.87E-05
233,9.96E-05
234,0.000135199
235,0.000172037
236,0.000207313
237,0.000239874
238,0.000269853
239,0.000297906
240,0.000324623
241,0.000350146
242,0.000373837
243,0.000393812
244,0.000406263
245,0.000404952
246,0.000382173
247,0.000333227
